"filename", "language", "Markdown", "PHP", "JSON", "CSS", "HTML", "XML", "JavaScript", "comment", "blank", "total"
"c:\xampp\htdocs\B6Cinemas\.idea\B6Cinemas.iml", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 0, 9
"c:\xampp\htdocs\B6Cinemas\.idea\misc.xml", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 0, 6
"c:\xampp\htdocs\B6Cinemas\.idea\modules.xml", "XML", 0, 0, 0, 0, 0, 8, 0, 0, 0, 8
"c:\xampp\htdocs\B6Cinemas\.idea\vcs.xml", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 0, 6
"c:\xampp\htdocs\B6Cinemas\B6Website\controller\database.php", "PHP", 0, 24, 0, 0, 0, 0, 0, 0, 4, 28
"c:\xampp\htdocs\B6Cinemas\B6Website\index.php", "PHP", 0, 124, 0, 0, 0, 0, 0, 1, 31, 156
"c:\xampp\htdocs\B6Cinemas\B6Website\model\adminStuff\addPromo.php", "PHP", 0, 27, 0, 0, 0, 0, 0, 4, 6, 37
"c:\xampp\htdocs\B6Cinemas\B6Website\model\adminStuff\deletePromo.php", "PHP", 0, 17, 0, 0, 0, 0, 0, 3, 5, 25
"c:\xampp\htdocs\B6Cinemas\B6Website\model\adminStuff\deleteShowtime.php", "PHP", 0, 23, 0, 0, 0, 0, 0, 3, 6, 32
"c:\xampp\htdocs\B6Cinemas\B6Website\model\adminStuff\newMovie.php", "PHP", 0, 38, 0, 0, 0, 0, 0, 4, 7, 49
"c:\xampp\htdocs\B6Cinemas\B6Website\model\adminStuff\scheduleMovie.php", "PHP", 0, 41, 0, 0, 0, 0, 0, 1, 6, 48
"c:\xampp\htdocs\B6Cinemas\B6Website\model\adminStuff\sendPromo.php", "PHP", 0, 30, 0, 0, 0, 0, 0, 1, 7, 38
"c:\xampp\htdocs\B6Cinemas\B6Website\model\checkout\checkout.php", "PHP", 0, 3, 0, 0, 0, 0, 0, 1, 4, 8
"c:\xampp\htdocs\B6Cinemas\B6Website\model\database.php", "PHP", 0, 24, 0, 0, 0, 0, 0, 0, 4, 28
"c:\xampp\htdocs\B6Cinemas\B6Website\model\loginAndReg\forgotPass.php", "PHP", 0, 37, 0, 0, 0, 0, 0, 1, 8, 46
"c:\xampp\htdocs\B6Cinemas\B6Website\model\loginAndReg\loginUser.php", "PHP", 0, 33, 0, 0, 0, 0, 0, 4, 12, 49
